,0_x,0_y
0,[],Among the Multitude: Whitman+Craig Urquhart
1,[],Ã–verallt+Olle LjungstrÃ¶m
2,[],The Avenger Is Back+All Natural
3,"[""If I only knew where you're taking me\nMaybe I would know who I'm meant to be\nIf I only knew where you're taking me\nWould I be afraid?\nIf I'd had the time to pack a bag\nTo say goodbye, to not look back\nIf I'd picked out those precious things\nThat I'd hold close as the night draws in\nWould I be afraid?\nIf we hadn't left in the dead of night\nTwo silent shapes in the endless black\nIf the hazy ray of dawn\nHad lit the path of your frightened pawn\nWould I be…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Lazarus+Sophie Solomon
4,"['Just let me out of here\nSpeak to me\nIt all would be easier\nI want to talk to you\nWho is that?\nDo I hear a whisper?\nOr do I hear a cry?\nAcross the brown land\nThe stumps of time\nOh turn the wheel and heal me\nSince moonlights fade\nI\'m empty - heal me\nI\'m in search of the Lion heart\nI am ashamed\nI myself can\'t make it\nDrown Ulysses\nDrown here in the silence\nCause down to Hades I\'ve gone\nBut I cannot get out\nDown below\nI can\'t free my mind\nSoon I will fade away\nDown below\nI can\'t free my mind\nSoon I will fade\n""Tic Tac"" is the message\nAnd the lunatic fears\nHe is no more\nSpeak to me\nIt all would be easier\nWhile I\'m passing by\nWhat\'s that?\nDo I hear a whisper?\nOr do I hear a cry?\nAcross the brown land\nThe ghost arrives\nPick up my bones and\nTell me\nIs this the ""Lake of Fire""?\nHell?\nPlease…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Lionheart+Blind Guardian
5,"[""Whores\nYour windows boarded up, your private lives exposed\nThe talk shows pump it up, lab rats diseased for show\nWe're doomed to use the slang, outbreak of drug roulette\nA church burned to the ground, not even noticed yet\n13 Steps (To Nowhere)\nWhores\nA backwards swastika, the black skin riddled in lead\nA Nazi Gangster Jew, it beats a dog that's dead\nIt's in to use the slang, outbreak of gun roulette\nThe cross slants to the side, will prove the damnedest yet\n13 Steps - Leads to nowhere\nThe backlash dislocates,…\n\n\n\nTraducir al español\nFuente: LyricFind""]",13 Steps To Nowhere (LP Version)+Pantera
6,"['Aquarius, Libra, Leo, Cancer\nRalph, Charles, Paul, Larry\nFloat, float on\nFloat on, float on\nFloat, float, float on\nFloat on, float on\nFloat, float on\nFloat on, float on\nFloat, float, float on\nFloat on, float on\nFloat, float on\nFloat on, float on\nFloat, float, float on\nFloat on, float on\nAquarius, Libra, Leo, Cancer\nRalph, Charles, Paul, Larry\nAquarius and my name is Ralph\nNow I like a woman who loves her freedom\nAnd I like a woman who can hold her own\nAnd if you fit that description, baby, come with me\nTake my hand, come with me, baby, to Love Land\nLet me show you how sweet it could be\nSharing love with me, I want you to\nFloat, float on (Come on, come on, come on, baby, yeahâ?¦eahâ?¦)\nFloat on, float on (Ooh, ooh, baby)\nFloat, float, float on\nFloat on (Float with…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Float On+The Floaters
7,[],My Own Radio+SCYCS
8,[],No Fairy Tales+Link
9,[],8:25+Intars Busulis
10,[],Deeper+Keith Varon
