,0_x,0_y
0,[],Look+Tina Britt
1,"['Nada como ser rosa na vida\nRosa mesmo ou mesmo rosa mulher\nTodos querem muito bem a rosa\nQuero eu ...\nTodo mundo também quer\nUm amigo meu disse que em samba\nCanta-se melhor flor e mulher\nE eu que tenho rosas como tema\nCanto no compasso que quiser\nRosas... rosas ... rosas...\nRosas formosas são rosas de mim\nRosas a me confundir / Rosas a te confundir\nCom as rosas, as rosas, as rosas, de abril\nRosas... rosas... rosas...\nRosas mimosas são…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",... Das Rosas+Dorival Caymmi
2,[],Sadie Was a Lady+Johnny Bond
3,"[""We said goodbye a year ago\nWe sat within the farmhouse\nSo you know, don't you?\nI went to the house alone\nThe power out, no telephone\nYou know, you'll know\nThe gun in the drawer\nThe long distance call\nA story to tell\nPatience drifts into the sound\nYou are nothing to me now\nI made time to figure out\nSave us now before we drown\nHello, goodbye I said last we met\nI'll be easy to forget\nYou know, you'll know\nAn empty beer, the sealing broke\nThe saddest song we ever wrote\nYou'll know, don't you?…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Lion Tamer+Damien Jurado
4,[],Stephen Hawkwind+That Fucking Tank
5,"['My mom always liked paul the best\nShe liked his smile and the way he dressed\nAnd when he sang\nHis mouth made an o whoah\nDad liked the girl who did ""Delta Dawn""\nBut I\'ll save that for another song\nHe loves all animals\nIs what you gotta know\nWe started getting death threats\nIn the mailbox milk sucks,\nLet the animals go\nThey were blaming my dad\nFor testing on cats\nThey were blaming my dad,\nMy dad?\nMy dad (my dad) versus Paul McCartney\nHe likes to eat meat it\'s true\nMy dad (my dad) versus Paul McCartney\nHe don\'t really care if you don\'t eat it too\nPaul thought my dad was a science guy\nThat makes shampoo that doesn\'t hurt your eyes\nHe got reported to p.e.t.a well,\nThey had protests in the neighbourhood\nWhen they found out they didn\'t feel too…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",My Dad vs. P.M.+Chixdiggit!
6,[],She Can't Feel Anything Anymore (Album Version)+PAULA COLE
7,[],New York City Speed+Kill Hannah
8,[],Face It+Bryan Jones
9,[],Le Cicale+Patty Pravo
10,[],Priceless+Rocko
11,[],Sweet Rain+The Inmates
12,[],No Fun+Dwayne Sodahberk
13,"['Y esto no es otra historia de amor\nY esta es la voz de mi corazon\nY esta es mi mas humilde confesion\nPuede que a veces me vistiera de\nDon Juan para enamorar\nPara impresionar\nNo paro de entrar, salir\nDe la vida de la gente sin pedir permiso\nDe entrar, salir\nDe la vida de la gente sin pedir permiso\nNo paro de entrar, salir\nDe la vida de la gente sin pedir permiso\nDe entrar, salir\nDe la vida de la gente sin pedir permiso\nY si no lo negare\nTengo un demonio debajo de la piel\nMi angel de la guardia me abandono\nSe rindio y me dijo no tienes solucion\nY aun sin morir no tendre la satisfacion\nDe haber echo a nadie feliz\nSolo sirvo para el dolor\nNo paro de entrar, salir\nDe la vida de la gente sin pedir permiso\nDe entrar, salir\nDe la vida de la gente sin pedir permiso\nSe que…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: Musixmatch']",ConfesiÃ³n+Fondo Flamenco
14,"['Zadok the priest\nAnd Nathan the prophet\nAnointed Soloman, king\nAnd all the people\nRejoiced.\nAnd all the people (Alleluia)\nRejoiced.…\n\n\n\nTraducir al español\nFuente: LyricFind']",Zadok the Priest+Amici Forever
15,[],I'll Be Satisfied With Love+Faron Young
