,0_x,0_y
0,"['Trei cruci de lemn, trei cruci enorme de lemn\nVopsite cu trei culori, pzesc pe marginea soselei\nFntna celor... crediciosi!\nTrei cruci pe marginea soselei\nCu gesturi largi de mini bolnave\nOpresc din drum pe cltori\nSi parc-s trei spnzurtori\nDe care atrn trei crisosi...\nNtr-o zi mpinsi de-acelasi…\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Banner Of Blasphemy+AGATHODAIMON
1,[],You Are (My Shining Star) [Fab Original Mix]+La Guardia
2,"[""I like salsa with my pancakes, baby\nI like to vacuum when I'm in the nude\nI'll watch the weather channel for no reason\nI like it, baby, just like I like you\nSometimes the love you get is free from logic\nSometimes it happens when it least expect it\nSometimes I wonder why the world's gone crazy\nBut I like never knowing what comes next\nCause I found you\nWithout out even trying\nOr lifting a finger\nAnd then you were here\nSuch a strange thing\nWe think we are in control\nWe always know\nUntil we don't\nFunny how the world can spin so fast\nAnd we don't crash\nWe just get dizzy\nIf I could, Maybe I'd build a rocket\nSo you and I could make love on the moon\nAnd get perspective on a world gone crazy\nGet understanding about you and me\nI used to pully my hair out and worry baby,…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Dizzy+Amanda Marshall
3,[],(I Can't Get No) Satisfaction+The Strangeloves
4,"[""I'm struggling in a good-girl-straight jacket\nTime has come to say that's it\nIf I spend my life waiting for tomorrow\nI'll wake up one day and it's over\nNo-one's gonna come to deliver the goods\nDo it yourself is the clue\nIt takes courage to follow your heart\nBut as far as I'm concerned it's free of charge\nSo tell me, who's stopping you what's on your way\nOther people's wishes to obey\nIs your purpose to make them feel okay\nNow who's to blame\nI'll stand behind every word I say\nAnd I don't really care if you see me fail\nI'll make my own miracles\nWith bare hands I build my own paradise\nThis is my law, this is my system, this is my force,\nMy state, my mission\nThis is my way, this is my vision\nAnd the voice inside my head says\nLet the pressure\nLet all the pressure out…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",My Law+Velcra
5,[],Don't You Wanna Be Mine+Denise Lopez
6,"[""Mistähän riittää joka taivaalle, hopeaa kuun, tilaa tähdille\nOn lokakuun taivas, vaan ajassa miel'\nJolloin huojuivat pellot ja pöllysi tie\nNyt hiljainen raitti matkaani vie eteenpäin\nTähän makaamaan\nYllä taivas\nIlma kuulas\nMikähän salpaa kerta perässään pyhän hengen, hampaat kiristää\nNyt kivinen käydä raitti jo on\nJa paino mi rinnassa kohtuuton\nAjoissa kun ei tehtyä saattanut sovittaa…\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Kuulas+Viikate
7,[],Alright Wid Me+Manix
8,[],Baby It's Cold Outside (LP Version)+War
9,[],Wild trees+Collection D'Arnell-Andrea
10,"['Hace tiempo que en mi mente existía\nUn viejo compromiso de componer un son\nSe trataba de hacer una melodía\nCon unos cuantos versos, con todo el corazón\nPero el tiempo no es corto todavía\nY ya llegó el momento para poder cantar\nCon una nota linda\nCon una voz sentida\nY ganas de llorar\nCon una nota linda\nCon una voz sentida\nY ganas de llorar\nPor qué cuando escucho mi triste acordeón\nQuisiera reírme y quisiera llorar\nPor qué cuando escucho a mi hermano cantar\nQuisiera una copa llena de licor\nQuisiera un momento olvidar el dolor\nQue pasen las penas y sentirme feliz\nAl lado de mi hermano\nCon quien he batallado\nPara poder vivir\nAl lado de mi hermano\nCon quien he batallado\nPara poder vivir\nMuchas veces que la gente no sabe\nQué ratos tan amargos por…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: LyricFind']",Mi Hermano y Yo+Los Hermanos Zuleta
11,[],Where Are You Now? (2003 Digital Remaster)+Linda Eder
12,[],A Mozart Opera By Borge+Victor Borge
13,"[""Close encounter of the third kind\nI wouldn't mind, from what I see on the dance floor! Yeah!\nI wouldn't mind an encounter\nI think we better leave through the back door, yeah!\nClose encounter of the third kind\nI wouldn't mind, from what I see on the dance floor! Yeah!\nI wouldn't mind an encounter\nHey pretty girl on the floor you wanna slip through the back door? Yeah!\nP-p-p-princess! You're a princess!\nYou got the ass of a prince, you got a prince of an ass\nP-p-p-princess! You're a princess!\nYou got the ass of a prince, you got a…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Princess+Datarock
14,"[""Lies, deceitful words of impatience\nFutile words of evasion\nThe gods that have once spoken to me\nHave abandoned me to my pre-destined state\nA state in which there are no words, is no language\nOnly the language of the endless suffering\nSuffering that brings me to appreciate my new found existence\nOne that spawns forth a new being\nA being in which there is no appreciation\nFor his fellow man to see\nHatred and remorse unto those who have punished me\nPunishment to cold to see\nI don't see, I don't see\nOne that I have once created\nForced to change, I don't need\nThe path of abomination of all things\nFor I am now a seed, that will one day set forth a new race…\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Seeds Of The Suffering (Album Version)+Suffocation
15,[],Fight Scene - Yellow Rose Of Texas+Dimitri Tiomkin
16,[],What Are You Waiting For (Live)+Ritual
17,[],La Trampa Del Corazon+Nacho Cano
18,[],Oh Gee! Oh Gosh!+Fred Astaire
19,[],Soho Sessions+Scott Wozniak*
20,"[""Hello I'm sitting here\nThinking and writing\nWriting and talking\nWithoiut you\nSituated in the corner of the corner\nSo far from nothing\nSuspecting not accepting\nThat it's true\nIt really hits me when\nI'm walking into the market\nI hear things I used to say\nIs it wrong to be here anyway\nFade away\nWhat was I thinking when I thought I could make you stay\nWhat was I thinking when I thought I was right\nNot nothin'\nI'm on to something here\nIt's all becoming clear\nClearly confusing\nLess than amusing\nCastrated like a corpse to a corner …\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Not Nothin'+Stroke 9
21,"[""Summer journeys\nTo Niagara\nAnd to other places\nAggravate all our cares\nWe'll save our fares\nI've a cozy little flat\nIn what is known as old Manhattan\nWe'll settle down\nRight here in town\nWe'll have Manhattan\nThe Bronx and Staten Island, too\nIt's lovely going through\nThe zoo\nIt's very fancy\nOn old Delancey Street, you know\nThe subway charms us so\nWhen balmy breezes blow\nTo and fro\nAnd tell me what street\nCompares with Mott Street\nIn July\nSweet pushcarts gently gliding by\nThe great big city's a wondrous toy\nJust made for a girl and boy\nWe'll turn Manhattan\nInto an isle of joy\nWe'll go to Greenwich\nWhere modern men itch\nTo be free\nAnd Bowling Green you'll see\nWith me\nWe'll bathe at Brighton\nThe fish you'll frighten\nWhen you're in\nYour bathing suit so thin\nWill make the…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Manhattan+Lee Wiley
22,"[""Pass away the hours, hear the footsteps of the past\nWalking up the stairs of time, knowing that I'm trapped\nCold winds of indifference persuade a movement south\nThinking that it's better there\nThe warmer climes that we seek out\nPoor bird flies up in the air, never getting anywhere\nAnd how much misery can one soul take?\nTrying to fly away might have been your fist mistake\nPoor bird flies up in the air\nNever getting anywhere\nPicking petals off a flower\nLoves me, loves me not\nIs love another way to count the things you haven't got?\nWe wish the best to all our friends, young and old alike\nWhen the dust has settled in the sky\nWell, you can have anything you like\nPoor bird flies up in the air, never getting anywhere\nAnd how much misery can one soul take?\nTrying to…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Up In The Air+Husker Du
23,"[""I hate to be, to be the one\nWho's given up\nAnd feels that all our hope is gone\nBut what I thought was a miracle\nJust turned into the same old\nProblem that it was\nShe longs for better days\nShe's always been afraid\nAnd it's a shame, oh, it's a shame\nThat you are throwing your whole life away\nAnd it's a shame, oh, it's a shame\nI wonder if you're ever goin' to change\nOh, it's a shame, yeah\nEver since I can recall\nShe has been so afraid\nOf you losing it all\nWhat do you want?\nDo you even know?\nAnd is it worth the pain\nWe all have to endure?\nShe longs for better days\nShe's always been afraid\nIt's a shame, oh, it's a shame\nThat you are throwing your whole life away\nAnd it's a shame, oh, it's a shame\nI wonder if you're ever going to change\nYou left her without leaving\nYou hit…\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",It's A Shame+Third Day
24,[],Rossz Kislany+Emilio / PÃ¡sztor Anna
25,[],Interlude+Kevin Toney
26,[],eternity+Max Cavalerra
